                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.1771,                0.66395,                 1.1049,                0.92146,                0.94725,                 0.9935,                0.63707,                 1.3691,                0.69263,                 1.2643,             0.00089469,             0.00089469,             0.00089469
                     62,                 1.2433,                0.67376,                 1.1079,                0.86834,                 0.9283,                0.96924,                0.64222,                 1.3332,                0.86501,                 1.2722,             0.00089102,             0.00089102,             0.00089102
                     63,                 1.1898,                0.62143,                 1.1092,                0.82767,                0.88318,                 0.9415,                0.60419,                 1.3195,                0.97783,                 1.2451,             0.00088736,             0.00088736,             0.00088736
                     64,                 1.2096,                0.69656,                 1.1585,                0.92958,                 0.9519,                 0.9915,                0.62954,                 1.3819,                 0.6957,                 1.2785,             0.00088369,             0.00088369,             0.00088369
                     65,                 1.3334,                0.69989,                 1.1671,                0.92958,                 0.9519,                 0.9915,                0.62954,                 1.3819,                 0.6957,                 1.2785,             0.00088002,             0.00088002,             0.00088002
                     66,                 1.2047,                0.66117,                 1.1155,                0.92669,                0.94672,                  0.991,                0.64287,                  1.374,                0.68752,                 1.2693,             0.00087636,             0.00087636,             0.00087636
                     67,                 1.1951,                0.65046,                 1.1021,                0.88783,                0.87999,                0.96356,                0.61333,                 1.3732,                0.80156,                 1.2955,             0.00087269,             0.00087269,             0.00087269
                     68,                 1.2119,                0.64895,                 1.1202,                0.83748,                0.79097,                 0.8868,                0.52625,                 1.5127,                 1.1027,                 1.3766,             0.00086902,             0.00086902,             0.00086902
                     69,                 1.1189,                0.60235,                 1.0781,                0.83748,                0.79097,                 0.8868,                0.52625,                 1.5127,                 1.1027,                 1.3766,             0.00086536,             0.00086536,             0.00086536
                     70,                 1.1685,                 0.6304,                 1.1415,                0.89434,                0.85226,                0.89903,                0.51371,                 1.5779,                 0.8843,                 1.4086,             0.00086169,             0.00086169,             0.00086169
                     71,                 1.1421,                0.59721,                 1.0791,                0.91409,                0.93352,                0.94938,                0.55016,                 1.6174,                0.88005,                 1.4419,             0.00085803,             0.00085803,             0.00085803
                     72,                 1.2674,                0.60077,                 1.1424,                 0.9305,                0.92314,                0.94105,                0.57367,                 1.5044,                0.81976,                 1.3605,             0.00085436,             0.00085436,             0.00085436
                     73,                 1.2056,                0.64014,                 1.1043,                 0.9305,                0.92314,                0.94105,                0.57367,                 1.5044,                0.81976,                 1.3605,             0.00085069,             0.00085069,             0.00085069
                     74,                 1.1108,                0.57042,                 1.1124,                0.94182,                0.93649,                0.98523,                0.63296,                 1.4047,                0.69668,                  1.281,             0.00084703,             0.00084703,             0.00084703
                     75,                 1.1685,                0.61653,                 1.1009,                0.93288,                0.93917,                  0.995,                0.65164,                 1.4007,                0.63577,                 1.2734,             0.00084336,             0.00084336,             0.00084336
                     76,                 1.1083,                0.60706,                 1.0687,                0.84052,                0.88773,                0.97595,                0.62972,                 1.3764,                0.80466,                 1.2487,             0.00083969,             0.00083969,             0.00083969
                     77,                 1.1744,                 0.6105,                 1.1179,                0.84052,                0.88773,                0.97595,                0.62972,                 1.3764,                0.80466,                 1.2487,             0.00083603,             0.00083603,             0.00083603
                     78,                 1.1116,                0.59832,                 1.0715,                0.86083,                0.81163,                0.91905,                 0.5982,                 1.3673,                 1.2159,                 1.2449,             0.00083236,             0.00083236,             0.00083236
                     79,                 1.0502,                0.58312,                 1.0734,                0.89461,                0.88399,                0.97403,                0.63799,                 1.2975,                0.74318,                  1.189,             0.00082869,             0.00082869,             0.00082869
                     80,                 1.1038,                0.55898,                 1.0642,                0.94358,                0.93517,                0.98977,                0.66573,                 1.2486,                0.52547,                 1.1571,             0.00082503,             0.00082503,             0.00082503
                     81,                 1.1092,                0.59866,                 1.1286,                0.94358,                0.93517,                0.98977,                0.66573,                 1.2486,                0.52547,                 1.1571,             0.00082136,             0.00082136,             0.00082136
                     82,                 1.1912,                0.60392,                 1.1359,                0.84092,                0.96032,                 0.9869,                0.63824,                 1.3046,                0.62612,                 1.1988,              0.0008177,              0.0008177,              0.0008177
                     83,                 1.2178,                0.67395,                 1.1387,                0.85087,                 0.9649,                0.97519,                 0.6162,                  1.331,                  0.674,                 1.2299,             0.00081403,             0.00081403,             0.00081403
                     84,                 1.1951,                0.61325,                 1.1378,                0.91937,                0.96983,                 0.9801,                0.64519,                 1.2954,                0.56335,                 1.1938,             0.00081036,             0.00081036,             0.00081036
                     85,                 1.1328,                0.58239,                 1.0657,                0.91937,                0.96983,                 0.9801,                0.64519,                 1.2954,                0.56335,                 1.1938,              0.0008067,              0.0008067,              0.0008067
                     86,                 1.1171,                0.57801,                 1.0884,                0.96095,                0.96996,                0.98921,                0.65396,                  1.298,                0.50933,                 1.1949,             0.00080303,             0.00080303,             0.00080303
                     87,                 1.1428,                0.54427,                 1.1323,                0.98645,                0.98407,                  0.995,                0.65596,                 1.3393,                0.49171,                 1.2336,             0.00079936,             0.00079936,             0.00079936
                     88,                 1.1272,                0.56024,                 1.0935,                0.95831,                0.97799,                 0.9905,                0.62862,                 1.4169,                0.52641,                 1.2664,              0.0007957,              0.0007957,              0.0007957
                     89,                 1.1717,                0.56988,                 1.1292,                0.95831,                0.97799,                 0.9905,                0.62862,                 1.4169,                0.52641,                 1.2664,             0.00079203,             0.00079203,             0.00079203
                     90,                 1.1639,                0.55546,                 1.1282,                0.92433,                  0.967,                 0.9875,                0.59091,                  1.521,                0.56607,                 1.3317,             0.00078837,             0.00078837,             0.00078837
                     91,                 1.1223,                 0.6315,                 1.0923,                0.96797,                0.97952,                 0.9905,                0.63461,                  1.414,                0.52739,                 1.2551,              0.0007847,              0.0007847,              0.0007847
                     92,                  1.167,                0.59281,                 1.0843,                0.94579,                 0.9846,                  0.995,                 0.6866,                 1.2922,                0.54207,                 1.1736,             0.00078103,             0.00078103,             0.00078103
                     93,                 1.1291,                0.57261,                 1.1213,                0.94579,                 0.9846,                  0.995,                 0.6866,                 1.2922,                0.54207,                 1.1736,             0.00077737,             0.00077737,             0.00077737
                     94,                 1.1561,                 0.6323,                 1.1136,                0.96592,                0.86092,                  0.991,                0.66945,                 1.2954,                0.59922,                 1.1738,              0.0007737,              0.0007737,              0.0007737
                     95,                 1.0997,                 0.5897,                 1.0501,                0.90929,                0.90694,                 0.9834,                0.64293,                 1.3709,                  0.619,                 1.2132,             0.00077003,             0.00077003,             0.00077003
                     96,                 1.0699,                0.58619,                 1.0934,                0.93674,                0.95026,                 0.9902,                0.62858,                   1.47,                0.55118,                 1.2842,             0.00076637,             0.00076637,             0.00076637
                     97,                 1.1264,                0.58971,                 1.0663,                0.93674,                0.95026,                 0.9902,                0.62858,                   1.47,                0.55118,                 1.2842,              0.0007627,              0.0007627,              0.0007627
